Date,Year,Month,Day,Weekday,Region,Revenue,COGS,Gross_Profit,Operating_Expenses,Net_Profit,Units_Sold,Number_of_Transactions,Average_Transaction_Value,Marketing_Spend,Ad_Channel,Website_Visits,New_Customers,Returning_Customers,Customer_Acquisition_Cost,Top_Selling_Category,Customer_Satisfaction_Score,Inventory_Level,Production_Volume,Supplier_Lead_Time_Days
2024-01-31,2024,1,31,Wednesday,Asia,40200,22110,18090,9100,8990,402,201,200.00,2700,Email,6000,75,132,36.00,Electronics,4.7,15184,400,6
2024-02-01,2024,2,1,Thursday,LATAM,36750,20213,16537,8840,7697,368,184,199.73,2475,Organic,5700,68,120,36.40,Apparel,4.6,14914,365,6
2024-02-02,2024,2,2,Friday,North America,42000,23100,18900,9230,9670,420,210,200.00,2775,Social Media,6150,77,136,36.04,Home Goods,4.8,14642,415,5
2024-02-03,2024,2,3,Saturday,Europe,45000,24750,20250,9620,10630,450,225,200.00,3000,Google Ads,6600,83,147,36.14,Electronics,4.9,14362,450,5
2024-02-04,2024,2,4,Sunday,Asia,42300,23265,19035,9360,9675,423,212,199.53,2850,Email,6300,78,138,36.54,Apparel,4.7,14079,425,6
2024-02-05,2024,2,5,Monday,LATAM,39000,21450,17550,9100,8450,390,195,200.00,2625,Organic,6000,72,128,36.46,Home Goods,4.6,13797,390,6
2024-02-06,2024,2,6,Tuesday,North America,44250,24338,19912,9490,10422,443,222,199.32,2925,Social Media,6450,81,144,36.11,Electronics,4.8,13512,440,5
2024-02-07,2024,2,7,Wednesday,Europe,47250,25988,21262,9880,11382,473,237,199.37,3150,Google Ads,6900,87,153,36.21,Apparel,4.9,13222,470,5
2024-02-08,2024,2,8,Thursday,Asia,44700,24585,20115,9620,10495,447,224,199.55,3000,Email,6600,83,147,36.14,Home Goods,4.7,12930,445,6
2024-02-09,2024,2,9,Friday,LATAM,41250,22688,18562,9360,9202,413,207,199.28,2775,Organic,6300,75,133,37.00,Electronics,4.6,12640,410,6
2024-02-10,2024,2,10,Saturday,North America,46500,25575,20925,9750,11175,465,233,199.57,3075,Social Media,6750,86,151,35.76,Apparel,4.8,12344,460,5
2024-02-11,2024,2,11,Sunday,Europe,49500,27225,22275,10140,12135,495,248,199.60,3300,Google Ads,7200,90,162,36.67,Home Goods,4.9,12044,490,5
2024-02-12,2024,2,12,Monday,Asia,46800,25740,21060,9880,11180,468,234,200.00,3150,Email,6900,87,155,36.21,Electronics,4.7,11742,465,6
2024-02-13,2024,2,13,Tuesday,LATAM,43500,23925,19575,9620,9955,435,218,199.54,2925,Organic,6600,78,141,37.50,Apparel,4.6,11442,430,6
2024-02-14,2024,2,14,Wednesday,North America,52500,28875,23625,10400,13225,525,263,199.62,3600,Social Media,7800,98,169,36.73,Home Goods,4.9,11137,525,5
2024-02-15,2024,2,15,Thursday,Europe,51750,28463,23287,10270,13017,518,260,199.04,3450,Google Ads,7500,93,170,37.10,Electronics,4.9,10827,510,5
2024-02-16,2024,2,16,Friday,Asia,49200,27060,22140,10010,12130,492,247,199.19,3300,Email,7200,90,162,36.67,Apparel,4.7,10519,490,6
2024-02-17,2024,2,17,Saturday,LATAM,45750,25163,20587,9750,10837,458,230,198.91,3075,Organic,6900,83,148,37.05,Home Goods,4.6,10214,455,6
2024-02-18,2024,2,18,Sunday,North America,51000,28050,22950,10140,12810,510,255,200.00,3375,Social Media,7350,92,166,36.68,Electronics,4.8,9904,505,5
2024-02-19,2024,2,19,Monday,Europe,54000,29700,24300,10530,13770,540,270,200.00,3600,Google Ads,7800,98,175,36.73,Apparel,4.9,9589,535,5
2024-02-20,2024,2,20,Tuesday,Asia,51300,28215,23085,10270,12815,513,257,199.61,3450,Email,7500,93,168,37.10,Home Goods,4.7,9272,510,6
2024-02-21,2024,2,21,Wednesday,LATAM,48000,26400,21600,10010,11590,480,240,200.00,3225,Organic,7200,87,158,37.07,Electronics,4.6,8957,480,6
2024-02-22,2024,2,22,Thursday,North America,53250,29288,23962,10400,13562,533,267,199.44,3525,Social Media,7650,96,174,36.72,Apparel,4.8,8637,530,5
2024-02-23,2024,2,23,Friday,Europe,56250,30938,25312,10790,14522,563,282,199.47,3750,Google Ads,8100,102,183,36.76,Home Goods,4.9,8302,555,5
2024-02-24,2024,2,24,Saturday,Asia,53700,29535,24165,10530,13635,537,269,199.63,3600,Email,7800,98,175,36.73,Electronics,4.7,7964,535,6
2024-02-25,2024,2,25,Sunday,LATAM,50250,27638,22612,10270,12342,503,252,199.40,3375,Organic,7500,90,165,37.50,Apparel,4.6,7629,500,6
2024-02-26,2024,2,26,Monday,North America,55500,30525,24975,10660,14315,555,278,199.64,3675,Social Media,7950,101,180,36.39,Home Goods,4.8,7284,550,5
2024-02-27,2024,2,27,Tuesday,Europe,58500,32175,26325,11050,15275,585,293,199.66,3900,Google Ads,8400,105,191,37.14,Electronics,4.9,6924,580,5
2024-02-28,2024,2,28,Wednesday,Asia,55800,30690,25110,10790,14320,558,279,200.00,3750,Email,8100,102,185,36.76,Apparel,4.7,6567,555,6
2024-02-29,2024,2,29,Thursday,LATAM,52500,28875,23625,10530,13095,525,263,199.62,3525,Organic,7800,93,173,37.90,Home Goods,4.6,6217,520,6
2024-03-01,2024,3,1,Friday,North America,57750,31763,25987,10920,15067,578,290,199.14,3825,Social Media,8250,104,189,36.78,Electronics,4.8,5862,570,5
2024-03-02,2024,3,2,Saturday,Europe,60750,33413,27337,11310,16027,608,305,199.18,4050,Google Ads,8700,108,199,37.50,Apparel,4.9,5492,600,5
2024-03-03,2024,3,3,Sunday,Asia,58200,32010,26190,11050,15140,582,291,200.00,3900,Email,8400,105,192,37.14,Home Goods,4.7,5125,580,6
2024-03-04,2024,3,4,Monday,LATAM,54750,30113,24637,10790,13847,548,275,199.09,3675,Organic,8100,98,180,37.50,Electronics,4.6,4760,540,6
2024-03-05,2024,3,5,Tuesday,North America,60000,33000,27000,11180,15820,600,300,200.00,3975,Social Media,8550,107,196,37.15,Apparel,4.8,4380,595,5
2024-03-06,2024,3,6,Wednesday,Europe,63000,34650,28350,11570,16780,630,315,200.00,4200,Google Ads,9000,113,207,37.17,Home Goods,4.9,3990,625,5
2024-03-07,2024,3,7,Thursday,Asia,60300,33165,27135,11310,15825,603,302,199.67,4050,Email,8700,108,199,37.50,Electronics,4.7,3608,600,6
2024-03-08,2024,3,8,Friday,LATAM,57000,31350,25650,11050,14600,570,285,200.00,3825,Organic,8400,102,188,37.50,Apparel,4.6,3228,565,6
2024-03-09,2024,3,9,Saturday,North America,62250,34238,28012,11440,16572,623,312,199.52,4125,Social Media,8850,111,204,37.16,Home Goods,4.8,2833,615,5
2024-03-10,2024,3,10,Sunday,Europe,65250,35888,29362,11830,17532,653,327,199.54,4350,Google Ads,9300,117,215,37.18,Electronics,4.9,2428,645,5
2024-03-11,2024,3,11,Monday,Asia,62700,34485,28215,11570,16645,627,314,199.68,4200,Email,9000,113,207,37.17,Apparel,4.7,2018,620,6
2024-03-12,2024,3,12,Tuesday,LATAM,59250,32588,26662,11310,15352,593,297,199.50,3975,Organic,8700,105,195,37.86,Home Goods,4.6,1613,585,6
2024-03-13,2024,3,13,Wednesday,North America,64500,35475,29025,11700,17325,645,323,199.69,4275,Social Media,9150,116,211,36.85,Electronics,4.8,1203,640,5
2024-03-14,2024,3,14,Thursday,Europe,67500,37125,30375,12090,18285,675,338,199.70,4500,Google Ads,9600,120,222,37.50,Apparel,4.9,788,670,5
2024-03-15,2024,3,15,Friday,Asia,64800,35640,29160,11830,17330,648,324,200.00,4350,Email,9300,117,215,37.18,Home Goods,4.7,368,645,6
2024-03-16,2024,3,16,Saturday,LATAM,61500,33825,27675,11570,16105,615,308,199.68,4125,Organic,9000,111,204,37.16,Electronics,4.6,5000,610,6
2024-03-17,2024,3,17,Sunday,North America,66750,36713,30037,11960,18077,668,334,199.85,4425,Social Media,9450,119,219,37.18,Apparel,4.8,4563,660,5
2024-03-18,2024,3,18,Monday,Europe,69750,38363,31387,12350,19037,698,349,199.86,4650,Google Ads,9900,123,229,37.80,Home Goods,4.9,4118,690,5
2024-03-19,2024,3,19,Tuesday,Asia,67200,36960,30240,12090,18150,672,336,200.00,4500,Email,9600,120,222,37.50,Electronics,4.7,3670,670,6
2024-03-20,2024,3,20,Wednesday,LATAM,63750,35063,28687,11830,16857,638,319,199.84,4275,Organic,9300,116,213,36.85,Apparel,4.6,3225,630,6
2024-03-21,2024,3,21,Thursday,North America,69000,37950,31050,12220,18830,690,345,200.00,4575,Social Media,9750,122,225,37.50,Home Goods,4.8,2775,685,5
2024-03-22,2024,3,22,Friday,Europe,72000,39600,32400,12610,19790,720,360,200.00,4800,Google Ads,10200,128,235,37.50,Electronics,4.9,2310,715,5
2024-03-23,2024,3,23,Saturday,Asia,69300,38115,31185,12350,18835,693,347,199.71,4650,Email,9900,123,229,37.80,Apparel,4.7,1848,690,6
2024-03-24,2024,3,24,Sunday,LATAM,66000,36300,29700,12090,17610,660,330,200.00,4425,Organic,9600,119,219,37.18,Home Goods,4.6,1398,655,6
2024-03-25,2024,3,25,Monday,North America,71250,39188,32062,12480,19582,713,357,199.58,4725,Social Media,10050,126,232,37.50,Electronics,4.8,943,705,5
2024-03-26,2024,3,26,Tuesday,Europe,74250,40838,33412,12870,20542,743,372,199.59,4950,Google Ads,10500,132,242,37.50,Apparel,4.9,478,735,5
2024-03-27,2024,3,27,Wednesday,Asia,71700,39435,32265,12610,19655,717,359,199.72,4800,Email,10200,128,235,37.50,Home Goods,4.7,13,715,6
2024-03-28,2024,3,28,Thursday,LATAM,68250,37538,30712,12350,18362,683,342,199.56,4575,Organic,9900,122,225,37.50,Electronics,4.6,5000,675,6
2024-03-29,2024,3,29,Friday,North America,73500,40425,33075,12740,20335,735,368,199.73,4875,Social Media,10350,129,239,37.79,Apparel,4.8,4515,730,5
2024-03-30,2024,3,30,Saturday,Europe,76500,42075,34425,13130,21295,765,383,199.74,5100,Google Ads,10800,135,250,37.78,Home Goods,4.9,4015,760,5
2024-03-31,2024,3,31,Sunday,Asia,73800,40590,33210,12870,20340,738,369,200.00,4950,Email,10500,132,244,37.50,Electronics,4.7,3523,735,6
