Date,Year,Month,Day,Weekday,Region,Revenue,COGS,Gross_Profit,Operating_Expenses,Net_Profit,Units_Sold,Number_of_Transactions,Average_Transaction_Value,Marketing_Spend,Ad_Channel,Website_Visits,New_Customers,Returning_Customers,Customer_Acquisition_Cost,Top_Selling_Category,Customer_Satisfaction_Score,Inventory_Level,Production_Volume,Supplier_Lead_Time_Days
2022-02-09,2022,2,9,Wednesday,LATAM,27500,16500,11000,7200,3800,275,140,196.43,1850,Organic,4200,50,89,37.00,Electronics,4.5,11014,270,6
2022-02-10,2022,2,10,Thursday,North America,31000,18600,12400,7500,4900,310,158,196.20,2050,Social Media,4500,57,101,35.96,Apparel,4.7,10704,305,5
2022-02-11,2022,2,11,Friday,Europe,33000,19800,13200,7800,5400,330,168,196.43,2200,Google Ads,4800,60,108,36.67,Home Goods,4.8,10374,325,5
2022-02-12,2022,2,12,Saturday,Asia,31200,18720,12480,7600,4880,312,158,197.47,2100,Email,4600,58,103,36.21,Electronics,4.6,10062,310,6
2022-02-13,2022,2,13,Sunday,LATAM,29000,17400,11600,7400,4200,290,148,195.95,1950,Organic,4400,52,94,37.50,Apparel,4.5,9772,285,6
2022-02-14,2022,2,14,Monday,North America,35000,21000,14000,8000,6000,350,178,196.63,2400,Social Media,5200,65,113,36.92,Home Goods,4.9,9422,350,5
2022-02-15,2022,2,15,Tuesday,Europe,34500,20700,13800,7900,5900,345,175,197.14,2300,Google Ads,5000,62,113,37.10,Electronics,4.8,9077,340,5
2022-02-16,2022,2,16,Wednesday,Asia,32800,19680,13120,7700,5420,328,166,197.59,2200,Email,4800,60,108,36.67,Apparel,4.6,8749,325,6
2022-02-17,2022,2,17,Thursday,LATAM,30500,18300,12200,7500,4700,305,155,196.77,2050,Organic,4600,55,99,37.27,Home Goods,4.5,8444,300,6
2022-02-18,2022,2,18,Friday,North America,34000,20400,13600,7800,5800,340,172,197.67,2250,Social Media,4900,61,111,36.89,Electronics,4.7,8104,335,5
2022-02-19,2022,2,19,Saturday,Europe,36000,21600,14400,8100,6300,360,182,197.80,2400,Google Ads,5200,65,117,36.92,Apparel,4.8,7744,355,5
2022-02-20,2022,2,20,Sunday,Asia,34200,20520,13680,7900,5780,342,173,197.69,2300,Email,5000,62,112,37.10,Home Goods,4.6,7402,340,6
2022-02-21,2022,2,21,Monday,LATAM,32000,19200,12800,7700,5100,320,162,197.53,2150,Organic,4800,58,105,37.07,Electronics,4.5,7082,315,6
2022-02-22,2022,2,22,Tuesday,North America,35500,21300,14200,8000,6200,355,180,197.22,2350,Social Media,5100,64,116,36.72,Apparel,4.7,6727,350,5
2022-02-23,2022,2,23,Wednesday,Europe,37500,22500,15000,8300,6700,375,190,197.37,2500,Google Ads,5400,68,122,36.76,Home Goods,4.8,6352,370,5
2022-02-24,2022,2,24,Thursday,Asia,35800,21480,14320,8100,6220,358,181,197.79,2400,Email,5200,65,117,36.92,Electronics,4.6,5994,355,6
2022-02-25,2022,2,25,Friday,LATAM,33500,20100,13400,7900,5500,335,170,197.06,2250,Organic,5000,60,110,37.50,Apparel,4.5,5659,330,6
2022-02-26,2022,2,26,Saturday,North America,37000,22200,14800,8200,6600,370,187,197.86,2450,Social Media,5300,67,120,36.57,Home Goods,4.7,5289,365,5
2022-02-27,2022,2,27,Sunday,Europe,39000,23400,15600,8500,7100,390,197,197.97,2600,Google Ads,5600,70,127,37.14,Electronics,4.8,4899,385,5
2022-02-28,2022,2,28,Monday,Asia,37200,22320,14880,8300,6580,372,188,197.87,2500,Email,5400,68,123,36.76,Apparel,4.6,4527,370,6
2022-03-01,2022,3,1,Tuesday,LATAM,35000,21000,14000,8100,5900,350,177,197.74,2350,Organic,5200,62,115,37.90,Home Goods,4.5,4177,345,6
2022-03-02,2022,3,2,Wednesday,North America,38500,23100,15400,8400,7000,385,195,197.44,2550,Social Media,5500,69,126,36.96,Electronics,4.7,3792,380,5
2022-03-03,2022,3,3,Thursday,Europe,40500,24300,16200,8700,7500,405,205,197.56,2700,Google Ads,5800,72,133,37.50,Apparel,4.8,3387,400,5
2022-03-04,2022,3,4,Friday,Asia,38800,23280,15520,8500,7020,388,196,197.96,2600,Email,5600,70,128,37.14,Home Goods,4.6,3000,385,6
2022-03-05,2022,3,5,Saturday,LATAM,36500,21900,14600,8300,6300,365,185,197.30,2450,Organic,5400,65,120,37.69,Electronics,4.5,2635,360,6
2022-03-06,2022,3,6,Sunday,North America,40000,24000,16000,8600,7400,400,202,198.02,2650,Social Media,5700,71,131,37.32,Apparel,4.7,2235,395,5
2022-03-07,2022,3,7,Monday,Europe,42000,25200,16800,8900,7900,420,212,198.11,2800,Google Ads,6000,75,138,37.33,Home Goods,4.8,1815,415,5
2022-03-08,2022,3,8,Tuesday,Asia,40200,24120,16080,8700,7380,402,203,198.03,2700,Email,5800,72,133,37.50,Electronics,4.6,1413,400,6
2022-03-09,2022,3,9,Wednesday,LATAM,38000,22800,15200,8500,6700,380,192,197.92,2550,Organic,5600,68,125,37.50,Apparel,4.5,1033,375,6
2022-03-10,2022,3,10,Thursday,North America,41500,24900,16600,8800,7800,415,210,197.62,2750,Social Media,5900,74,136,37.16,Home Goods,4.7,618,410,5
2022-03-11,2022,3,11,Friday,Europe,43500,26100,17400,9100,8300,435,220,197.73,2900,Google Ads,6200,78,143,37.18,Electronics,4.8,203,430,5
2022-03-12,2022,3,12,Saturday,Asia,41800,25080,16720,8900,7820,418,211,198.10,2800,Email,6000,75,138,37.33,Apparel,4.6,5000,415,6
2022-03-13,2022,3,13,Sunday,LATAM,39500,23700,15800,8700,7100,395,200,197.50,2650,Organic,5800,70,130,37.86,Home Goods,4.5,4605,390,6
2022-03-14,2022,3,14,Monday,North America,43000,25800,17200,9000,8200,430,217,198.16,2850,Social Media,6100,77,141,37.01,Electronics,4.7,4175,425,5
2022-03-15,2022,3,15,Tuesday,Europe,45000,27000,18000,9300,8700,450,227,198.24,3000,Google Ads,6400,80,148,37.50,Apparel,4.8,3725,445,5
2022-03-16,2022,3,16,Wednesday,Asia,43200,25920,17280,9100,8180,432,218,198.17,2900,Email,6200,78,143,37.18,Home Goods,4.6,3293,430,6
2022-03-17,2022,3,17,Thursday,LATAM,41000,24600,16400,8900,7500,410,207,198.07,2750,Organic,6000,74,136,37.16,Electronics,4.5,2883,405,6
2022-03-18,2022,3,18,Friday,North America,44500,26700,17800,9200,8600,445,225,197.78,2950,Social Media,6300,79,146,37.34,Apparel,4.7,2438,440,5
2022-03-19,2022,3,19,Saturday,Europe,46500,27900,18600,9500,9100,465,235,197.87,3100,Google Ads,6600,82,153,37.80,Home Goods,4.8,1973,460,5
2022-03-20,2022,3,20,Sunday,Asia,44800,26880,17920,9300,8620,448,226,198.23,3000,Email,6400,80,148,37.50,Electronics,4.6,1525,445,6
2022-03-21,2022,3,21,Monday,LATAM,42500,25500,17000,9100,7900,425,215,197.67,2850,Organic,6200,77,142,37.01,Apparel,4.5,1100,420,6
2022-03-22,2022,3,22,Tuesday,North America,46000,27600,18400,9400,9000,460,232,198.28,3050,Social Media,6500,81,151,37.65,Home Goods,4.7,640,455,5
2022-03-23,2022,3,23,Wednesday,Europe,48000,28800,19200,9700,9500,480,242,198.35,3200,Google Ads,6800,85,158,37.65,Electronics,4.8,160,475,5
2022-03-24,2022,3,24,Thursday,Asia,46200,27720,18480,9500,8980,462,233,198.28,3100,Email,6600,82,153,37.80,Apparel,4.6,5000,460,6
2022-03-25,2022,3,25,Friday,LATAM,44000,26400,17600,9300,8300,440,222,198.20,2950,Organic,6400,79,147,37.34,Home Goods,4.5,4560,435,6
2022-03-26,2022,3,26,Saturday,North America,47500,28500,19000,9600,9400,475,240,197.92,3150,Social Media,6700,84,156,37.50,Electronics,4.7,4085,470,5
2022-03-27,2022,3,27,Sunday,Europe,49500,29700,19800,9900,9900,495,250,198.00,3300,Google Ads,7000,88,163,37.50,Apparel,4.8,3590,490,5
2022-03-28,2022,3,28,Monday,Asia,47800,28680,19120,9700,9420,478,241,198.34,3200,Email,6800,85,158,37.65,Home Goods,4.6,3112,475,6
2022-03-29,2022,3,29,Tuesday,LATAM,45500,27300,18200,9500,8700,455,230,197.83,3050,Organic,6600,81,151,37.65,Electronics,4.5,2657,450,6
2022-03-30,2022,3,30,Wednesday,North America,49000,29400,19600,9800,9800,490,247,198.38,3250,Social Media,6900,87,161,37.36,Apparel,4.7,2167,485,5
2022-03-31,2022,3,31,Thursday,Europe,51000,30600,20400,10100,10300,510,257,198.44,3400,Google Ads,7200,90,167,37.78,Home Goods,4.8,1657,505,5
